gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_wb
Y41G9A.10,321.6771186381958,-1.702348365062068,0.6792068508231703,8.799163078612103e-5,0.002549944488636369,Y41G9A.10
F56H9.2,439.8174730850822,-1.3683082470308314,0.4488080751688397,8.838024160056523e-5,0.0025552986893257594,F56H9.2
cyp-34A4,256.35438446626563,-2.4366494622489885,1.1753693230713544,9.298128408037707e-5,0.00268231243448873,T09H2.1
ribo-1,338.8446004227222,1.0280412932076366,0.29321328206952113,9.359281726141224e-5,0.002688767025301766,T22D1.4
pqn-32,8.783218232353793,4.909923675380879,2.4795247613676956,9.36220546227602e-5,0.002688767025301766,F29C12.1
mans-2,235.6540391035676,1.2231164772030676,0.37630881560344726,9.794676061388076e-5,0.0028067188402577607,C52E4.5
inx-13,287.71880290777784,1.1166480911784924,0.3294087862108283,9.929772072461814e-5,0.002832840948548564,Y8G1A.2
AH9.6,134.73508490044796,-1.1705958981810216,0.35254342769912167,9.92718081112699e-5,0.002832840948548564,AH9.6
phb-1,777.8965663809784,1.028589065730349,0.2948672577225326,9.958290778748487e-5,0.0028347055097563295,Y37E3.9
Y39H10A.1,934.526749018977,-2.2073937293283303,1.0529699758317175,1.0188382897635383e-4,0.002893814922136746,Y39H10A.1
F54C9.7,51.47258012858372,-1.7792033190269263,0.7529651931195532,1.0279044847992676e-4,0.002913149083843199,F54C9.7
